cdatetime;address;district;crimedescr;ucr_ncic_code;severity
01.01.2006 00:00;3108 OCCIDENTAL DR;3;10851(A)VC TAKE VEH W/O OWNER;2404;8
01.01.2006 00:00;2082 EXPEDITION WAY;5;459 PC  BURGLARY RESIDENCE;2204;4
01.01.2006 00:00;4 PALEN CT;2;10851(A)VC TAKE VEH W/O OWNER;2404;2
01.01.2006 00:00;22 BECKFORD CT;6;476 0PC PASS FICTICIOUS CHECK;2501;5
01.01.2006 00:00;3421 AUBURN BLVD;2;459 PC  BURGLARY-UNSPECIFIED;2299;6
01.01.2006 00:00;5301 BONNIEMAE WAY;6;530/5 PC USE PERSONAL ID INFO;2604;4
01.01.2006 00:00;2217 16TH AVE;4;459 PC  BURGLARY VEHICLE;2299;2
01.01.2006 00:00;3547 P ST;3;484 PC   PETTY THEFT/INSIDE;2308;2
01.01.2006 00:00;3421 AUBURN BLVD;2;459 PC  BURGLARY BUSINESS;2203;7
01.01.2006 00:00;1326 0HELMSMAN WAY;1;1708 US   THEFT OF MAIL;2310;3
01.01.2006 00:00;2315 STOCKTON BLVD;6;ASSAULT WITH WEAPON - I RPT;7000;6
01.01.2006 00:00;5112 63RD ST;6;530/5 PC USE PERSONAL ID INFO;2604;4
01.01.2006 00:00;6351 DRIFTWOOD ST;4;SUSP PERS-NO CRIME - I RPT;7000;1
01.01.2006 00:00;7721 COLLEGE TOWN DR;3;530/5 PC USE PERSONAL ID INFO;2604;6
01.01.2006 00:00;8460 ROVANA CIR;6;484G(B) PC ACCESS CARD FRAUD;2605;2
01.01.2006 00:00;4856 011TH AVE;6;487(A) PC GRAND THEFT;2303;1
01.01.2006 00:00;6033 69TH ST;6;TELEPEST -I RPT;7000;6
01.01.2006 00:00;547 L ST;3;487(A) GRAND THEFT-INSIDE;2308;9
01.01.2006 00:00;3525 42ND ST;6;530/5 PC USE PERSONAL ID INFO;2604;6
01.01.2006 00:00;5641 DORSET WAY;4;484J PC PUBLISH CARD INFO;2605;1
01.01.2006 00:01;5551 REXLEIGH CT;5;459 PC  BURGLARY VEHICLE;2299;2
01.01.2006 00:01;1896 0ARDEN WAY;2;484G(B) PC ACCESS CARD FRAUD;2605;4
01.01.2006 00:01;6168 RIVERSIDE BLVD;4;484 PC PETTY THEFT;2399;2
01.01.2006 00:01;415 SEXTANT WAY;2;459 PC  BURGLARY VEHICLE;2299;5
01.01.2006 00:01;15 BASIN CT;5;TRAFFIC - I RPT;7000;6
01.01.2006 00:01;3340 62ND ST;6;594(B)(1)PC  VANDALISM +$400;2999;2
01.01.2006 00:01;4280 DEER HILL DR;5;484G(B) PC ACCESS CARD FRAUD;2605;2
01.01.2006 00:01;2814 5TH ST;4;484 PC  PETTY THEFT/ OUTSIDE;2309;3
01.01.2006 00:01;1816 0FLORIN RD;5;HARASSMENT - I RPT;7000;2
01.01.2006 00:01;1260 BELL AVE;2;484 PC PETTY THEFT;2399;2
01.01.2006 00:01;7676 0BRIDGEVIEW DR;4;LOST PROPERTY - I RPT;7000;10
01.01.2006 00:01;3816 0CYPRESS ST;2;459 PC  BURGLARY RESIDENCE;2204;2
01.01.2006 00:01;1211 23RD ST;3;484G(A)PC USE FORGED CARD;2605;7
01.01.2006 00:01;7001 EAST PKWY;6;503 PC   EMBEZZLEMENT;2799;6
01.01.2006 00:01;918 LAKE FRONT DR;4;TELEPEST -I RPT;7000;9
01.01.2006 00:01;4851 KOKOMO DR;1;487(A) GRAND THEFT-INSIDE;2308;3
01.01.2006 00:01;2377 OAK HARBOUR DR;1;653M(A) PC OBSCENE/THREAT CALL;5309;10
01.01.2006 00:01;1823 P ST;3;484 PETTY THEFT/LICENSE PLATE;2399;6
01.01.2006 00:01;1100 14TH ST;3;FOUND PROPERTY - I RPT;7000;10
01.01.2006 00:01;3301 ARENA BLVD;1;530/5 PC USE PERSONAL ID INFO;2604;9
01.01.2006 00:01;1088 PREGO WAY;1;530/5 PC USE PERSONAL ID INFO;2604;6
01.01.2006 00:01;3259 SPINNING ROD WAY;1;484J PC PUBLISH CARD INFO;2605;3
01.01.2006 00:01;1010 J ST;3;THREATS - I RPT;7000;6
01.01.2006 00:01;400 BANNON ST;3;530 PC FALSE PERS/ REC PROP;2604;2
01.01.2006 00:10;6115 63RD ST;6;246 0PC SHOOT OCCUP DWELL/VEH;5213;3
01.01.2006 00:15;47 FIRE LEAF CT;2;10851(A)VC TAKE VEH W/O OWNER;2404;6
01.01.2006 00:18;5140 61ST ST;6;SHOOT INTO OCCUP DWELL - I RPT;7000;7
01.01.2006 00:19;1814 19TH ST;3;FOUND PROPERTY - I RPT;7000;5
01.01.2006 00:24;6940 27TH ST;4;243(E)1 BATTERY NONCOHAB SPOUS;1315;7
01.01.2006 00:25;3820 65TH ST;6;MISCELLANEOUS I RPT (ZMISC);7000;8
01.01.2006 00:27;2829 FLORIN RD;4;TOWED/STORED VEH-14602/6;7000;4
01.01.2006 00:30;1080 APPOLLO WAY;4;10851(A)VC TAKE VEH W/O OWNER;2404;2
01.01.2006 00:30;6571 WEATHERFORD WAY;5;10851(A)VC TAKE VEH W/O OWNER;2404;6
01.01.2006 00:30;930 43RD AVE;4;10851(A)VC TAKE VEH W/O OWNER;2404;9
01.01.2006 00:31;2830 E ST;3;211 PC ROBBERY- BUSINESS;1299;4
01.01.2006 00:36;NORTHGATE BLVD / W SILVER EAGLE RD;1;CASUALTY REPORT;7000;10
01.01.2006 00:36;6665 STOCKTON BLVD;6;459 PC  BURGLARY BUSINESS;2203;8
01.01.2006 00:39;7811 DEER MEADOW DR;5;246 0PC SHOOT OCCUP DWELL/VEH;5213;7
01.01.2006 00:40;3RD ST / O ST;3;23152(A) VC DUI-ALCOHOL/DRUGS;5404;8
01.01.2006 00:46;27TH ST / J ST;3;TRAFFIC-ACCIDENT INJURY;5400;3
01.01.2006 00:55;8TH ST / L ST;3;DUI I RPT;7000;6
01.01.2006 01:00;7850 COLLEGE TOWN DR;3;484 PETTY THEFT/LICENSE PLATE;2399;5
01.01.2006 01:00;63RD ST / JANSEN DR;6;23152(A) VC DUI-ALCOHOL/DRUGS;5404;4
01.01.2006 01:00;11 ALCANON CT;1;459 PC  BURGLARY VEHICLE;2299;4
01.01.2006 01:00;TRUXEL RD / SAGINAW CIR;1;10851(A)VC TAKE VEH W/O OWNER;2404;4
01.01.2006 01:00;2600 N ST;3;459 PC  BURGLARY VEHICLE;2299;8
01.01.2006 01:06;4740 BECKET WAY;5;459 PC  BURGLARY RESIDENCE;2204;4
01.01.2006 01:30;CALVINE RD / CENTER PKWY;5;243(D) PC BATT/CIVILIAN W/INJ;1315;9
01.01.2006 01:30;6625 VALLEY HI DR;5;10851(A)VC TAKE VEH W/O OWNER;2404;9
01.01.2006 01:51;RAINBOW AVE / HOWE AVE;2;246/3 PC NEGL DISCH FIREARM;5213;9
01.01.2006 02:00;2500 FLORIN RD;5;487(A) PC GRAND THEFT;2303;4
